	cg00109299	cg03026011	cg05981379	cg09439964	cg11072836	cg11847078	cg18258443	cg19631845	cg19983627	cg20092936	cg22289432	cg24532901	cg25960393
60209	0.91898198004164	0.839565884157131	0.84014366462553	0.895918636903976	0.855413105413105	0.747892518440464	0.0144817459111854	0.0219829519964109	0.0153348963943983	0.319822635917384	0.340191324859127	0.702427777024278	0.401131845958271
60247	0.938336582196231	0.91439534268325	0.829193413340776	0.912770918542869	0.916901221632843	0.836101776284205	0.0163267172779658	0.0187884404751875	0.016910931259865	0.360172713447751	0.797132669809742	0.520880452955552	0.666146490470815
60313	0.914467704336319	0.906933875673164	0.848729058347776	0.892795330369566	0.925606343283582	0.846770204768028	0.0069916100679185	0.0219680464778504	0.0068183088358576	0.279537925762338	0.53686561526629	0.657566302652106	0.438782999580958
60298	0.926591473905563	0.861262633738917	0.832788920983722	0.909843991748324	0.928470515970516	0.867128006769008	0.0189978737172968	0.0305863133055001	0.0229021081684186	0.543645338665334	0.495984518626028	0.616577946768061	0.527280552184342
60310	0.936	0.889493722185543	0.855011933174224	0.90717379619969	0.936492000777252	0.873231517815399	0.0136084819433725	0.025781726330459	0.0181773640372366	0.552550206685545	0.299099463725589	0.454375932371954	0.404319346540924
60307	0.932655813807597	0.87650127380808	0.857577266888615	0.877915440106104	0.935555436758259	0.893355821605331	0.0229154278918721	0.0340760157273919	0.0118094386043391	0.772067118777363	0.309516231699554	0.606032486937734	0.469333365951395
60354	0.925470876265433	0.859131309743418	0.839491505286919	0.899868585531588	0.936162656485839	0.870327316643137	0.0197141746121221	0.0317074268694923	0.0104877016413488	0.417082946096654	0.650803536372375	0.559233861432963	0.575759402121504
60357	0.926605504587156	0.900045693397304	0.856774515511936	0.938395862978517	0.925332155142487	0.87841314745292	0.0179854228933984	0.035048404446038	0.00998460086433858	0.6208024559126	0.508444037547906	0.456061646715663	0.362337184252118
60402	0.920704536682923	0.864458212163358	0.853740637886056	0.894221539642926	0.908640560760262	0.892007221401608	0.0253344719612866	0.0359057261975666	0.0200887612583214	0.583176659559713	0.303597565618091	0.469552017140577	0.344730387670681
60805	0.947628834589328	0.86411577140054	0.845778334457398	0.901018361363987	0.891212041348209	0.807344741395885	0.0141509433962264	0.0344707217034645	0.0151925900824579	0.798247139428929	0.316813621161447	0.328446909667195	0.501199958262321
60803	0.932973359341705	0.8882001593968	0.857918818398309	0.914922897773387	0.910976	0.88879720499897	0.0206624282198523	0.0696157913288685	0.0046104740513063	0.720871070748977	0.171924746743849	0.427052423343225	0.536561743341404
60868	0.921997907544465	0.861787338474012	0.775458536453985	0.918308940733227	0.862313783791984	0.750522662155934	0.00998684659229308	0.00314657809632025	0.0136023269621086	0.764812371513608	0.597581351397521	0.761449564845199	0.472744656360654
60860	0.937453613116524	0.869368936701566	0.828443908323281	0.902128070570812	0.932131810611468	0.849703447549621	0.0135070821529745	0.0338131904921326	0.0125318390219052	0.68500906458283	0.32138255135299	0.597714029583147	0.560395522649162
60861	0.951272137149164	0.882969619169876	0.839969554255269	0.929693154996066	0.93669886973543	0.943411062906724	0.0310835805425498	0.022387357727401	0.0105156210312421	0.918855033513584	0.392768492470627	0.594262295081967	0.410374876104687
60960	0.919277435832313	0.886710018288966	0.815472985101418	0.913393691400586	0.939772692460864	0.896176988205597	0.0187138969780876	0.0198019124280444	0.0186712861208448	0.395442545965881	0.730326522470851	0.570057115080812	0.481034260690366
60991	0.93678000207016	0.885975367500993	0.852689647120633	0.923757904245709	0.93479633722766	0.91375679668102	0.00843528294508687	0.0413301164376377	0.00440461725394897	0.628486140724947	0.797791797214415	0.70181371042115	0.840525536639526
63333	0.914968665456662	0.776910277742225	0.839750815781667	0.87114650792555	0.935057062929848	0.789376272441236	0.00395033860045147	0.00589812332439678	0.0175361957064403	0.595304658578915	0.571668063704945	0.721301028669824	0.496388107368261
56802	0.917540350393158	0.825396825396825	0.825153929735603	0.805286282167515	0.922982473483855	0.843850488090902	0.015096131023024	0.0100901129584973	0.016146212928183	0.838571135400005	0.368913703916578	0.587634713556438	0.222722121097641
56837	0.922294562392953	0.851096099276785	0.838639410187668	0.79077775578864	0.894496560350219	0.898677158170829	0.0114242193450114	0.010211027910143	0.00965741587882485	0.638429891414312	0.819748010533655	0.452396228769003	0.431262308620799
56864	0.925020036213601	0.807102834226848	0.79842512030331	0.837025786641133	0.892832869941304	0.897717526628856	0.0122418424413228	0.0194969342844606	0.0145503123081922	0.701469890943575	0.70032632342277	0.481930064465716	0.366300586730856
56865	0.929916850500594	0.797448165869219	0.844074348654946	0.857813759506536	0.911268565931213	0.837691197691198	0.0139707883516284	0.0242882117882118	0.0217147974031789	0.432567513099557	0.634874195435927	0.594801048911185	0.294967864784712
56867	0.930509135408304	0.860942660818403	0.832653598210762	0.87466938364157	0.916397523886422	0.885243247618791	0.022034632034632	0.0243204577968526	0.0198580836183572	0.418003090329763	0.525854428047588	0.499529140943811	0.323268033212247
56800	0.920857570217716	0.83890760346487	0.825651357915655	0.901249057584891	0.914491311337365	0.910732071713147	0.00634705718362247	0.0226540114613181	0.0217685657743985	0.530358217464289	0.576116563621428	0.598024210379853	0.630554236483278
63356	0.903717097256511	0.814191139713664	0.856181062884974	0.851109146439479	0.909588929919247	0.880250485818628	0.015136071756192	0.0516316698481956	0.020459608394888	0.722018015106838	0.473359580052493	0.561663971777157	0.622976479795691
63354	0.919178571428571	0.841548449146429	0.831342699840549	0.814529161157632	0.904235269016038	0.844106961673158	0.0182547642928786	0.0404552134643931	0.0199871427736544	0.430975906243182	0.678475452889585	0.443695819792034	0.693147760397422
63343	0.915773674473804	0.825180865997193	0.830229469718027	0.781739811912226	0.913280404186214	0.872163388804841	0.022064121037464	0.0318963557845291	0.0141703195214071	0.748354578664242	0.574399809840742	0.508841732979664	0.522637113582109
63381	0.916823507983729	0.797353615336528	0.823223672553305	0.828309694142146	0.934149769122666	0.879070502687322	0.0250392601640202	0.0256292001581236	0.0128127271336215	0.480964165312151	0.335095047310545	0.755808383233533	0.397081091530011
63382	0.91027216856892	0.7773042088439	0.859375	0.793381012480718	0.922262326341596	0.867022227519218	0.0195533002013524	0.0115162196703739	0.0281158769368965	0.51862308339148	0.514714480608069	0.715041947731131	0.519164436994294
63386	0.925352677293118	0.797330125582714	0.837064969754105	0.816988386698468	0.911489658479175	0.902324659886409	0.00761603136900049	0.0506223489326194	0.0304742684157417	0.873978531363002	0.645593592259728	0.355405662169865	0.604645329972988
63414	0.90866293121098	0.836943996312514	0.827362063670795	0.848161218424963	0.929172302312539	0.916327698936395	0.0137078435231989	0.0281272679051769	0.0204762128399004	0.654400773684833	0.528384279475983	0.380765906043931	0.466633199464525
